month;mean;lower_bound;upper_bound
-6;0;;
-5;0;;
-4;0;;
-3;0;;
-2;0;;
-1;0;;
0;0;;
1;0.291349588445411;0.279986722891215;0.303354448638311
2;0.229235152312075;0.215874360908358;0.24467569315511
3;0.174011941996019;0.160405539894576;0.188017526988392
4;0.163166953528399;0.149368577303823;0.175203124546704
5;0.156725627313863;0.143087961640864;0.170427117780434
